Transaction,Amount,Time of Day,Location,Fraudulent
Purchase,17933,2,Mumbai,1
Transfer,35464,4,Bangalore,1
Transfer,850,1,Bangalore,0
Transfer,2683,4,Thrissur,0
Withdrawal,21977,3,Bangalore,1
Withdrawal,136,14,Bangalore,0
Transfer,4962,22,Chennai,0
Purchase,4274,10,Thrissur,0
Purchase,2760,11,Thrissur,0
Purchase,45361,5,Delhi,1
Withdrawal,1000,4,Kashmir,0
Transfer,11210,2,Bangalore,1
Withdrawal,4413,1,Bangalore,0
Purchase,3320,20,Kashmir,0
Withdrawal,3168,15,Chennai,0
Purchase,2787,18,Gujarat,0
Purchase,2948,13,Kashmir,0
Transfer,3979,15,Thrissur,0
Transfer,44959,2,Gujarat,1
Purchase,2525,18,Coimbatore,0
Transfer,1155,17,Bangalore,0
Withdrawal,4647,0,Kolkata,0
Purchase,4556,3,Kolkata,0
Purchase,1976,10,Thrissur,0
Transfer,8,1,Thrissur,0
Withdrawal,297,3,Coimbatore,0
Transfer,2668,11,Gujarat,0
Transfer,4180,18,Kashmir,0
Withdrawal,1746,9,Bangalore,0
Purchase,201,3,Chennai,0
Withdrawal,4279,7,Bangalore,0
Withdrawal,706,3,Bangalore,0
Withdrawal,1294,19,Kashmir,0
Transfer,4060,9,Bangalore,0
Withdrawal,678,3,Mumbai,0
Purchase,1284,5,Mumbai,0
Transfer,4134,0,Thrissur,0
Transfer,4673,6,Gujarat,0
Withdrawal,1870,19,Delhi,0
Withdrawal,3730,13,Kolkata,0
Transfer,4582,4,Thrissur,0
Withdrawal,2668,10,Thrissur,0
Purchase,1516,13,Coimbatore,0
Purchase,23245,3,Chennai,1
Transfer,2526,23,Thrissur,0
Withdrawal,1848,10,Kolkata,0
Transfer,1505,20,Kashmir,0
Purchase,3606,11,Kolkata,0
Purchase,1588,1,Mumbai,0
Purchase,41142,23,Mumbai,1
Withdrawal,430,8,Delhi,0
Withdrawal,4554,4,Thrissur,0
Withdrawal,6,7,Coimbatore,0
Withdrawal,4393,11,Kashmir,0
Withdrawal,2198,2,Coimbatore,0
Withdrawal,621,8,Kolkata,0
Transfer,456,0,Kashmir,0
Withdrawal,30509,10,Bangalore,1
Transfer,232,0,Bangalore,1
Purchase,9820,4,Delhi,1
Transfer,29246,22,Kolkata,1
Purchase,772,7,Gujarat,0
Withdrawal,4542,11,Bangalore,0
Purchase,4633,7,Kashmir,0
Transfer,685,7,Delhi,0
Transfer,1557,0,Delhi,0
Transfer,3725,8,Coimbatore,0
Purchase,4723,8,Mumbai,0
Transfer,1525,21,Mumbai,0
Purchase,16322,7,Chennai,1
Withdrawal,3250,7,Coimbatore,0
Withdrawal,370,11,Mumbai,0
Withdrawal,2424,20,Chennai,0
Withdrawal,1468,23,Chennai,0
Withdrawal,2885,23,Delhi,0
Purchase,3849,2,Bangalore,0
Purchase,1012,8,Delhi,0
Transfer,2535,22,Delhi,0
Purchase,1425,6,Thrissur,0
Purchase,2193,11,Thrissur,0
Transfer,49820,4,Gujarat,1
Withdrawal,3543,7,Gujarat,0
Transfer,3786,10,Mumbai,0
Purchase,639,1,Gujarat,0
Withdrawal,13482,3,Delhi,1
Withdrawal,14867,2,Bangalore,1
Withdrawal,4730,13,Kashmir,0
Purchase,249,12,Kolkata,0
Transfer,2268,2,Kolkata,0
Withdrawal,2565,18,Gujarat,0
Transfer,4171,2,Kolkata,0
Withdrawal,3036,4,Kolkata,0
Withdrawal,1021,4,Chennai,0
Withdrawal,140,6,Kolkata,0
Transfer,775,22,Delhi,0
Purchase,1488,18,Thrissur,0
Withdrawal,3563,9,Mumbai,0
Transfer,1238,3,Gujarat,0
Purchase,1325,8,Gujarat,0
Withdrawal,4659,10,Chennai,0
Purchase,2966,12,Coimbatore,0
Purchase,3168,15,Delhi,0
Transfer,1426,13,Kashmir,0
Withdrawal,1046,0,Chennai,0
Withdrawal,1225,13,Mumbai,0
Purchase,1401,4,Thrissur,0
Withdrawal,2760,19,Bangalore,0
Withdrawal,1579,6,Delhi,0
Purchase,4855,14,Delhi,0
Transfer,1408,3,Kashmir,0
Withdrawal,3708,14,Coimbatore,0
Purchase,3081,21,Gujarat,0
Withdrawal,2723,1,Coimbatore,0
Purchase,1522,14,Chennai,0
Withdrawal,1900,11,Bangalore,0
Withdrawal,4383,23,Mumbai,0
Transfer,517,18,Gujarat,0
Withdrawal,46254,15,Bangalore,1
Transfer,2929,10,Delhi,0
Withdrawal,2632,16,Chennai,0
Transfer,283,5,Delhi,0
Purchase,1575,5,Mumbai,0
Purchase,1465,1,Thrissur,0
Withdrawal,1521,20,Coimbatore,0
Purchase,10785,14,Bangalore,1
Withdrawal,4009,1,Chennai,0
Transfer,3346,5,Kashmir,0
Withdrawal,1521,8,Delhi,0
Purchase,4835,13,Bangalore,0
Purchase,1481,10,Mumbai,0
Purchase,257,12,Thrissur,0
Transfer,2227,19,Chennai,0
Purchase,1088,6,Kolkata,0
Purchase,4425,11,Coimbatore,0
Withdrawal,18350,4,Kolkata,1
Transfer,3250,16,Kashmir,0
Purchase,4676,4,Chennai,0
Transfer,2631,21,Kashmir,0
Withdrawal,4680,8,Mumbai,0
Transfer,830,12,Kashmir,0
Withdrawal,710,20,Kolkata,0
Withdrawal,2131,15,Kolkata,0
Transfer,155,2,Thrissur,0
Transfer,1735,4,Coimbatore,0
Purchase,39882,23,Delhi,1
Withdrawal,1074,4,Coimbatore,0
Withdrawal,19813,14,Kashmir,1
Withdrawal,1669,1,Kolkata,0
Withdrawal,1277,14,Bangalore,0
Withdrawal,3946,6,Thrissur,0
Transfer,4115,17,Bangalore,0
Transfer,48124,6,Kolkata,1
Purchase,2444,8,Kashmir,0
Transfer,4386,11,Kashmir,0
Purchase,9266,0,Mumbai,1
Withdrawal,1835,20,Kolkata,0
Purchase,4934,0,Gujarat,0
Transfer,1335,14,Delhi,0
Withdrawal,4572,8,Bangalore,0
Transfer,1609,16,Bangalore,0
Purchase,3834,18,Delhi,0
Withdrawal,819,21,Kolkata,0
Purchase,4226,11,Bangalore,0
Transfer,686,14,Gujarat,0
Transfer,2677,12,Thrissur,0
Transfer,861,17,Delhi,0
Purchase,3033,3,Delhi,0
Withdrawal,4098,14,Bangalore,0
Transfer,29530,5,Kashmir,1
Transfer,4116,13,Thrissur,0
Withdrawal,872,16,Kashmir,0
Purchase,2900,19,Kolkata,0
Purchase,2272,21,Mumbai,0
Withdrawal,3888,5,Gujarat,0
Transfer,1542,14,Bangalore,0
Withdrawal,40242,4,Kolkata,1
Transfer,41350,23,Mumbai,1
Transfer,2836,7,Chennai,0
Withdrawal,4414,23,Kashmir,0
Withdrawal,2412,9,Bangalore,0
Purchase,1375,11,Gujarat,0
Purchase,4196,21,Kashmir,0
Withdrawal,4313,14,Kashmir,0
Transfer,2925,16,Mumbai,0
Withdrawal,4729,9,Thrissur,0
Withdrawal,2852,19,Kolkata,0
Withdrawal,618,0,Bangalore,0
Transfer,1479,13,Thrissur,0
Transfer,2527,9,Bangalore,0
Purchase,1358,23,Kashmir,0
Purchase,456,5,Kashmir,0
Purchase,4592,19,Chennai,0
Transfer,1112,0,Bangalore,0
Transfer,27496,2,Bangalore,1
Transfer,8399,2,Kashmir,1
Withdrawal,1184,19,Delhi,0
Withdrawal,3959,15,Thrissur,0
Purchase,32913,18,Kashmir,1
Purchase,848,8,Coimbatore,0
Withdrawal,12050,5,Bangalore,1
Purchase,2911,4,Thrissur,0
Transfer,2291,18,Kolkata,0
Purchase,339,22,Chennai,0
Withdrawal,875,8,Kolkata,0
Transfer,3531,12,Gujarat,0
Purchase,195,13,Bangalore,0
Withdrawal,1309,4,Delhi,0
Purchase,3125,22,Bangalore,0
Withdrawal,4305,5,Kashmir,1
Transfer,27773,4,Mumbai,1
Transfer,4892,17,Kashmir,0
Purchase,766,8,Delhi,0
Purchase,198,0,Coimbatore,0
Purchase,3162,2,Kashmir,0
Withdrawal,3247,5,Gujarat,0
Withdrawal,964,18,Coimbatore,0
Purchase,835,16,Mumbai,0
Purchase,295,17,Gujarat,0
Transfer,1966,5,Delhi,0
Purchase,5893,1,Kashmir,1
Transfer,2842,11,Kashmir,0
Withdrawal,4539,22,Kashmir,0
Purchase,4624,12,Kashmir,0
Withdrawal,91,9,Coimbatore,0
Withdrawal,842,22,Mumbai,0
Transfer,2667,10,Gujarat,0
Withdrawal,919,6,Gujarat,0
Purchase,2549,2,Kashmir,0
Withdrawal,45647,4,Delhi,1
Withdrawal,2322,10,Chennai,0
Withdrawal,907,15,Mumbai,0
Withdrawal,35085,5,Chennai,1
Purchase,4615,8,Delhi,0
Purchase,4790,21,Delhi,0
Transfer,3914,7,Kashmir,0
Purchase,1804,20,Delhi,0
Withdrawal,3914,19,Kashmir,1
Purchase,4200,10,Delhi,0
Withdrawal,1060,1,Kolkata,0
Purchase,3761,3,Chennai,0
Purchase,4130,23,Gujarat,0
Purchase,341,8,Coimbatore,0
Withdrawal,33225,14,Chennai,1
Withdrawal,2930,4,Chennai,0
Transfer,2071,20,Chennai,0
Transfer,2982,20,Kashmir,0
Withdrawal,581,16,Mumbai,0
Transfer,4050,18,Kolkata,0
Withdrawal,1572,12,Gujarat,0
Transfer,4076,3,Thrissur,0
Purchase,179,9,Mumbai,0
Purchase,4987,17,Delhi,0
Transfer,4309,5,Bangalore,0
Withdrawal,3405,9,Kashmir,0
Purchase,4712,5,Kashmir,0
Purchase,1349,9,Gujarat,0
Purchase,1499,9,Gujarat,0
Purchase,4054,22,Kashmir,0
Withdrawal,2536,5,Chennai,0
Transfer,3039,9,Thrissur,0
Transfer,161,23,Kolkata,0
Withdrawal,4751,8,Thrissur,0
Transfer,1204,7,Mumbai,0
Transfer,4285,17,Thrissur,0
Withdrawal,1206,13,Kashmir,0
Withdrawal,3478,21,Bangalore,0
Purchase,3062,23,Mumbai,0
Purchase,4535,11,Kolkata,0
Purchase,3074,11,Kolkata,0
Withdrawal,978,4,Thrissur,0
Transfer,45,20,Thrissur,0
Withdrawal,2029,22,Chennai,0
Purchase,4841,6,Chennai,0
Purchase,3143,19,Bangalore,0
Withdrawal,1266,8,Kolkata,0
Withdrawal,4792,3,Coimbatore,0
Purchase,3168,4,Gujarat,0
Purchase,4940,8,Thrissur,0
Withdrawal,3481,2,Bangalore,0
Transfer,4117,1,Bangalore,0
Purchase,4536,11,Kolkata,0
Purchase,3239,0,Gujarat,0
Transfer,2057,8,Thrissur,0
Withdrawal,3451,15,Gujarat,0
Withdrawal,2187,21,Coimbatore,0
Transfer,2556,23,Chennai,0
Withdrawal,3622,1,Kolkata,0
Withdrawal,1106,7,Kashmir,0
Withdrawal,2926,10,Delhi,0
Transfer,1551,6,Gujarat,0
Withdrawal,3196,13,Gujarat,0
Withdrawal,1695,22,Coimbatore,0
Transfer,4438,20,Gujarat,0
Transfer,2361,16,Kashmir,0
Purchase,1281,18,Gujarat,0
Purchase,4114,13,Mumbai,0
Purchase,3679,1,Mumbai,0
Purchase,177,13,Kolkata,0
Transfer,2200,9,Kolkata,0
Transfer,591,9,Mumbai,0
Purchase,2008,8,Coimbatore,0
Purchase,1571,2,Mumbai,0
Purchase,4368,11,Delhi,0
Withdrawal,399,19,Thrissur,0
Withdrawal,610,16,Coimbatore,0
Transfer,1504,22,Kolkata,0
Transfer,48094,0,Chennai,1
Purchase,2148,12,Thrissur,0
Purchase,4501,0,Chennai,0
Purchase,2316,11,Chennai,0
Withdrawal,4121,10,Kashmir,0
Transfer,18100,19,Kolkata,1
Withdrawal,3246,17,Gujarat,0
Withdrawal,4775,2,Thrissur,0
Withdrawal,4692,3,Kashmir,0
Purchase,973,23,Gujarat,0
Withdrawal,2299,22,Delhi,0
Withdrawal,4286,6,Bangalore,0
Purchase,12698,13,Mumbai,1
Purchase,331,15,Kashmir,0
Withdrawal,26855,2,Bangalore,1
Withdrawal,22787,23,Kashmir,1
Purchase,3158,15,Coimbatore,0
Withdrawal,831,22,Kashmir,0
Purchase,4528,22,Coimbatore,0
Withdrawal,2867,16,Gujarat,0
Withdrawal,2349,1,Chennai,0
Transfer,4715,5,Bangalore,0
Withdrawal,4337,2,Gujarat,0
Transfer,6595,5,Bangalore,1
Transfer,2819,14,Gujarat,0
Withdrawal,3180,9,Chennai,0
Transfer,4623,9,Gujarat,0
Purchase,3265,4,Chennai,0
Purchase,4561,3,Delhi,0
Withdrawal,337,16,Delhi,0
Purchase,3762,5,Mumbai,0
Withdrawal,30860,2,Gujarat,1
Purchase,1719,7,Mumbai,0
Transfer,197,8,Delhi,0
Withdrawal,2069,19,Chennai,0
Withdrawal,460,14,Kolkata,0
Transfer,2494,18,Kashmir,0
Purchase,2806,2,Bangalore,1
Transfer,2591,18,Delhi,0
Withdrawal,2060,9,Thrissur,0
Transfer,805,2,Thrissur,0
Withdrawal,852,8,Thrissur,0
Withdrawal,796,13,Kolkata,0
Purchase,1050,8,Delhi,0
Transfer,2279,8,Gujarat,0
Purchase,3883,18,Coimbatore,0
Transfer,34771,0,Kolkata,1
Transfer,899,16,Chennai,0
Transfer,2441,9,Mumbai,0
Withdrawal,472,14,Kolkata,0
Withdrawal,4754,9,Thrissur,0
Withdrawal,4567,20,Bangalore,0
Purchase,3009,20,Delhi,0
Transfer,306,4,Mumbai,0
Withdrawal,4969,20,Gujarat,0
Purchase,1443,3,Kashmir,0
Purchase,3155,13,Delhi,0
Transfer,3802,12,Chennai,0
Purchase,2147,3,Mumbai,0
Withdrawal,3858,15,Gujarat,0
Withdrawal,1343,18,Kolkata,0
Withdrawal,1843,6,Bangalore,0
Withdrawal,541,7,Mumbai,0
Purchase,2961,3,Kolkata,1
Withdrawal,1868,1,Kolkata,0
Withdrawal,4278,6,Kashmir,0
Purchase,450,3,Coimbatore,0
Withdrawal,5808,2,Delhi,1
Withdrawal,2916,1,Bangalore,0
Transfer,2655,22,Mumbai,0
Withdrawal,2053,2,Kashmir,0
Purchase,2588,20,Bangalore,0
Purchase,4834,2,Mumbai,0
Purchase,4631,6,Delhi,0
Transfer,3911,21,Bangalore,0
Purchase,3122,3,Coimbatore,0
Purchase,2121,2,Kashmir,0
Withdrawal,566,16,Chennai,0
Purchase,119,21,Mumbai,0
Purchase,4833,8,Gujarat,0
Withdrawal,3240,17,Gujarat,0
Transfer,913,9,Delhi,0
Withdrawal,4378,4,Chennai,0
Purchase,2273,7,Chennai,0
Purchase,3911,6,Delhi,0
Purchase,4571,16,Chennai,0
Purchase,3751,1,Coimbatore,0
Purchase,2250,23,Bangalore,0
Transfer,212,4,Delhi,0
Withdrawal,1486,17,Mumbai,0
Purchase,3729,2,Coimbatore,0
Transfer,1164,4,Mumbai,0
Purchase,1345,1,Coimbatore,0
Transfer,445,4,Thrissur,0
Purchase,3301,6,Thrissur,0
Purchase,1663,1,Gujarat,0
Withdrawal,4403,5,Coimbatore,0
Transfer,231,20,Chennai,0
Purchase,4787,18,Gujarat,0
Purchase,2163,3,Bangalore,0
Transfer,2564,19,Chennai,0
Transfer,4187,1,Thrissur,0
Transfer,8500,1,Bangalore,1
Transfer,4200,6,Kashmir,0
Withdrawal,2754,0,Kashmir,0
Withdrawal,1500,10,Coimbatore,0
Withdrawal,792,1,Chennai,0
Withdrawal,2349,12,Kashmir,0
Transfer,1728,10,Coimbatore,0
Transfer,3340,20,Thrissur,0
Purchase,1421,20,Kolkata,0
Purchase,2960,12,Bangalore,0
Withdrawal,2046,18,Thrissur,0
Withdrawal,37080,19,Kashmir,1
Withdrawal,104,5,Coimbatore,0
Purchase,4209,3,Bangalore,0
Purchase,13593,3,Mumbai,1
Purchase,914,19,Bangalore,0
Transfer,16067,7,Kolkata,1
Withdrawal,103,19,Thrissur,0
Purchase,3498,16,Coimbatore,0
Purchase,4036,5,Bangalore,0
Transfer,282,19,Delhi,0
Purchase,1480,21,Mumbai,0
Withdrawal,2758,22,Kolkata,0
Transfer,2880,7,Mumbai,0
Transfer,494,1,Kolkata,0
Purchase,2579,23,Coimbatore,0
Purchase,4669,2,Mumbai,0
Transfer,3435,15,Thrissur,0
Withdrawal,25330,23,Kashmir,1
Withdrawal,4150,21,Delhi,0
Withdrawal,3796,10,Coimbatore,0
Purchase,1445,6,Bangalore,0
Transfer,39994,3,Delhi,1
Purchase,4330,14,Bangalore,0
Purchase,28705,1,Gujarat,1
Transfer,1499,20,Thrissur,0
Withdrawal,2207,16,Kashmir,0
Transfer,917,5,Thrissur,0
Transfer,3329,3,Delhi,0
Transfer,735,6,Coimbatore,0
Purchase,4573,12,Chennai,0
Purchase,3998,22,Delhi,0
Transfer,2906,10,Chennai,0
Transfer,4088,21,Thrissur,0
Withdrawal,4229,23,Chennai,0
Purchase,4511,6,Kashmir,0
Transfer,17835,0,Delhi,1
Purchase,2268,20,Thrissur,0
Transfer,1658,21,Thrissur,0
Transfer,2214,16,Kolkata,0
Withdrawal,2207,8,Kashmir,0
Withdrawal,13266,2,Kashmir,1
Transfer,2952,3,Gujarat,0
Purchase,1596,5,Chennai,0
Purchase,4280,6,Coimbatore,0
Withdrawal,3133,4,Bangalore,0
Withdrawal,983,10,Thrissur,0
Withdrawal,3325,10,Kolkata,0
Purchase,1449,6,Kolkata,0
Transfer,2792,23,Bangalore,0
Purchase,4167,15,Chennai,0
Withdrawal,2519,5,Coimbatore,0
Withdrawal,4061,0,Kashmir,0
Purchase,3294,4,Thrissur,0
Purchase,2169,7,Delhi,0
Withdrawal,18432,15,Bangalore,1
Purchase,2180,20,Coimbatore,0
Purchase,1154,17,Chennai,0
Transfer,2414,7,Coimbatore,0
Transfer,4102,10,Kashmir,0
Transfer,668,8,Bangalore,0
Withdrawal,2715,23,Gujarat,0
Purchase,2173,21,Kashmir,0
Withdrawal,2379,11,Thrissur,0
Transfer,29,18,Kashmir,0
Purchase,961,17,Coimbatore,0
Withdrawal,4990,7,Mumbai,0
Purchase,45725,3,Chennai,1
Transfer,31,1,Kolkata,0
Purchase,1083,7,Kolkata,0
Purchase,4421,11,Delhi,0
Withdrawal,36882,3,Bangalore,1
Transfer,226,20,Chennai,0
Transfer,263,12,Kashmir,0
Purchase,4285,12,Mumbai,0
Transfer,3050,8,Delhi,0
Withdrawal,2557,10,Mumbai,0
Purchase,34552,0,Bangalore,1
Withdrawal,3342,3,Kashmir,0
Withdrawal,15267,6,Mumbai,1
Transfer,3570,11,Thrissur,0
Purchase,938,23,Kashmir,0
Withdrawal,1869,23,Kolkata,0
Withdrawal,3937,22,Mumbai,0
Purchase,46861,1,Kashmir,1
Purchase,9436,16,Chennai,1
Withdrawal,252,0,Gujarat,0
Purchase,3168,4,Delhi,0
Transfer,4076,0,Coimbatore,0
Purchase,4357,18,Delhi,0
Purchase,19285,1,Bangalore,1
Withdrawal,42151,17,Kashmir,1
Withdrawal,1925,10,Gujarat,0
Withdrawal,2289,17,Delhi,0
Purchase,26873,17,Kashmir,1
Withdrawal,4360,14,Kashmir,0
Purchase,2095,23,Kolkata,0
Transfer,2484,9,Chennai,0
Transfer,860,12,Kashmir,0
Withdrawal,42591,0,Kolkata,1
Transfer,329,1,Coimbatore,0
Purchase,533,15,Mumbai,0
Withdrawal,1517,12,Mumbai,0
Withdrawal,4696,19,Bangalore,0
Transfer,4249,9,Kashmir,0
Withdrawal,9272,15,Gujarat,1
Withdrawal,41,23,Bangalore,0
Transfer,3216,17,Kolkata,0
Transfer,3543,1,Thrissur,0
Withdrawal,4146,1,Coimbatore,0
Transfer,42820,5,Gujarat,1
Transfer,1163,17,Kolkata,0
Purchase,3193,17,Delhi,0
Transfer,276,4,Thrissur,0
Transfer,2227,5,Delhi,0
Purchase,2338,4,Bangalore,0
Withdrawal,4530,2,Delhi,0
Transfer,2091,16,Chennai,0
Purchase,4670,3,Gujarat,0
Transfer,34557,0,Chennai,1
Withdrawal,4121,4,Kolkata,0
Purchase,3294,23,Coimbatore,0
Transfer,23904,3,Bangalore,1
Withdrawal,4645,19,Gujarat,0
Purchase,445,12,Gujarat,0
Withdrawal,4474,20,Chennai,0
Transfer,4472,22,Thrissur,0
Transfer,1130,20,Delhi,0
Withdrawal,21006,1,Kolkata,1
Transfer,4996,3,Gujarat,0
Purchase,933,8,Bangalore,0
Purchase,2279,10,Thrissur,0
Transfer,3414,10,Chennai,0
Transfer,2482,9,Kashmir,0
Purchase,3273,10,Thrissur,0
Withdrawal,1116,0,Bangalore,0
Withdrawal,1510,17,Kolkata,0
Withdrawal,2512,8,Chennai,0
Purchase,3270,14,Kashmir,0
Withdrawal,1650,18,Kashmir,0
Transfer,4002,15,Bangalore,0
Withdrawal,3974,1,Thrissur,0
Withdrawal,4251,13,Mumbai,0
Transfer,1903,18,Gujarat,0
Purchase,22557,3,Delhi,1
Purchase,275,18,Kolkata,0
Purchase,35413,1,Kolkata,1
Purchase,1743,13,Kolkata,0
Withdrawal,713,13,Gujarat,0
Purchase,2890,19,Mumbai,0
Withdrawal,2211,7,Delhi,0
Transfer,2284,2,Gujarat,0
Transfer,1450,15,Chennai,0
Purchase,3251,22,Kolkata,0
Transfer,1879,9,Delhi,0
Transfer,1311,5,Chennai,0
Transfer,4137,10,Chennai,0
Transfer,3950,9,Bangalore,0
Withdrawal,1779,9,Delhi,0
Transfer,2564,23,Bangalore,0
Withdrawal,1077,20,Chennai,0
Transfer,2720,16,Kashmir,0
Transfer,25449,17,Kashmir,1
Transfer,12680,2,Gujarat,1
Purchase,1118,19,Kolkata,0
Transfer,9,19,Coimbatore,0
Withdrawal,26734,5,Chennai,1
Withdrawal,4973,18,Mumbai,0
Purchase,2445,7,Gujarat,0
Transfer,724,20,Mumbai,0
Purchase,955,4,Kashmir,0
Transfer,4464,12,Kashmir,0
Purchase,587,15,Gujarat,0
Transfer,982,16,Coimbatore,0
Purchase,53,10,Mumbai,0
Withdrawal,13898,1,Mumbai,1
Transfer,3183,5,Delhi,0
Withdrawal,38,7,Bangalore,0
Withdrawal,2966,9,Kashmir,0
Purchase,46412,2,Kashmir,1
Purchase,3707,16,Bangalore,0
Withdrawal,4197,1,Chennai,0
Withdrawal,3266,6,Kolkata,0
Transfer,2918,6,Kolkata,0
Transfer,4433,14,Gujarat,0
Withdrawal,3762,11,Kolkata,0
Transfer,1586,5,Thrissur,0
Withdrawal,1766,9,Mumbai,0
Purchase,79,5,Coimbatore,0
Transfer,334,12,Kolkata,1
Withdrawal,1981,11,Bangalore,0
Purchase,4998,20,Bangalore,0
Purchase,3115,17,Kashmir,0
Transfer,573,16,Kashmir,0
Withdrawal,3794,13,Delhi,0
Withdrawal,4256,16,Kolkata,0
Withdrawal,2581,7,Gujarat,0
Transfer,2412,7,Mumbai,0
Withdrawal,3784,6,Chennai,0
Withdrawal,4542,4,Kashmir,0
Transfer,47653,5,Delhi,1
Purchase,2821,10,Chennai,0
Withdrawal,4000,3,Mumbai,0
Transfer,133,2,Thrissur,0
Purchase,17561,1,Chennai,1
Withdrawal,35623,4,Mumbai,1
Transfer,4575,13,Thrissur,0
Withdrawal,4111,21,Delhi,0
Withdrawal,1001,9,Bangalore,0
Transfer,530,6,Delhi,0
Purchase,2545,4,Kolkata,0
Withdrawal,4764,2,Delhi,0
Withdrawal,2160,23,Kashmir,0
Purchase,1486,22,Coimbatore,0
Withdrawal,1175,11,Mumbai,0
Withdrawal,2884,6,Kolkata,0
Purchase,3383,2,Bangalore,0
Withdrawal,4231,23,Gujarat,0
Withdrawal,4971,3,Delhi,0
Purchase,4234,2,Bangalore,0
Withdrawal,401,0,Thrissur,0
Transfer,35587,3,Gujarat,1
Transfer,1893,10,Mumbai,0
Purchase,3693,17,Chennai,0
Withdrawal,4508,19,Chennai,0
Withdrawal,2201,5,Mumbai,0
Purchase,767,3,Mumbai,0
Transfer,3719,5,Mumbai,1
Purchase,3697,22,Delhi,0
Transfer,2480,15,Kolkata,0
Transfer,643,5,Mumbai,0
Transfer,3411,10,Gujarat,0
Withdrawal,3771,20,Chennai,0
Purchase,862,7,Chennai,0
Withdrawal,4179,22,Mumbai,0
Purchase,1201,11,Mumbai,0
Transfer,853,20,Kashmir,0
Transfer,44492,0,Gujarat,1
Withdrawal,2708,15,Bangalore,0
Transfer,1910,8,Delhi,0
Transfer,4663,20,Delhi,0
Transfer,430,19,Mumbai,0
Purchase,328,0,Chennai,0
Withdrawal,17101,2,Kashmir,1
Withdrawal,1200,4,Delhi,0
Withdrawal,9466,3,Bangalore,1
Transfer,1177,21,Coimbatore,0
Withdrawal,3322,8,Thrissur,0
Purchase,767,9,Gujarat,0
Transfer,498,5,Chennai,0
Purchase,2965,22,Coimbatore,0
Withdrawal,2298,0,Coimbatore,0
Withdrawal,1514,1,Chennai,0
Transfer,3167,6,Thrissur,0
Purchase,3846,10,Chennai,0
Purchase,16652,21,Kashmir,1
Purchase,4692,0,Kolkata,0
Transfer,4653,14,Chennai,0
Transfer,448,21,Delhi,0
Transfer,3870,17,Coimbatore,0
Withdrawal,3640,23,Kolkata,0
Withdrawal,18949,16,Kashmir,1
Purchase,1168,13,Thrissur,0
Purchase,35674,4,Chennai,1
Withdrawal,1607,3,Kolkata,0
Purchase,3532,4,Bangalore,0
Purchase,3718,6,Delhi,0
Purchase,3063,2,Mumbai,0
Withdrawal,313,14,Kolkata,0
Withdrawal,1406,0,Gujarat,0
Transfer,2154,19,Thrissur,0
Withdrawal,464,5,Coimbatore,0
Withdrawal,4038,5,Coimbatore,0
Purchase,1205,8,Coimbatore,0
Transfer,73,8,Coimbatore,0
Withdrawal,877,22,Kashmir,0
Purchase,3630,22,Kolkata,0
Withdrawal,42055,5,Kashmir,1
Withdrawal,2779,17,Coimbatore,0
Purchase,171,3,Gujarat,0
Transfer,722,2,Bangalore,0
Withdrawal,361,1,Kashmir,0
Purchase,32955,3,Kolkata,1
Withdrawal,3755,22,Kolkata,0
Transfer,3594,23,Coimbatore,0
Transfer,4080,11,Gujarat,0
Transfer,662,17,Bangalore,0
Withdrawal,1207,12,Kashmir,0
Withdrawal,4283,23,Delhi,0
Withdrawal,960,5,Coimbatore,0
Transfer,4590,12,Chennai,0
Transfer,34239,8,Kashmir,1
Withdrawal,53,0,Kashmir,0
Transfer,2775,3,Thrissur,0
Withdrawal,1627,1,Coimbatore,0
Purchase,35513,3,Gujarat,1
Transfer,1072,17,Chennai,0
Transfer,659,14,Chennai,0
Withdrawal,2790,18,Kashmir,0
Purchase,1089,0,Mumbai,0
Transfer,2609,8,Mumbai,0
Purchase,1834,3,Kashmir,0
Withdrawal,1513,0,Kashmir,0
Withdrawal,3506,2,Kolkata,0
Purchase,300,12,Kashmir,0
Withdrawal,2350,12,Bangalore,0
Withdrawal,4043,6,Gujarat,0
Transfer,1121,7,Kolkata,0
Transfer,2966,17,Delhi,0
Purchase,3377,9,Thrissur,0
Transfer,2669,1,Bangalore,0
Purchase,4936,16,Delhi,0
Transfer,29596,9,Chennai,1
Withdrawal,1126,5,Chennai,0
Withdrawal,1047,13,Mumbai,0
Purchase,4984,20,Delhi,0
Purchase,352,10,Kolkata,0
Withdrawal,2281,14,Thrissur,0
Transfer,4989,0,Gujarat,0
Purchase,326,17,Mumbai,0
Transfer,3580,14,Delhi,0
Transfer,22478,3,Bangalore,1
Purchase,16773,0,Kolkata,1
Transfer,3179,15,Gujarat,0
Withdrawal,1207,16,Gujarat,0
Purchase,3980,6,Thrissur,0
Withdrawal,1346,21,Kolkata,0
Transfer,4279,8,Kolkata,0
Transfer,2734,15,Bangalore,0
Purchase,2158,17,Coimbatore,0
Transfer,19076,5,Kashmir,1
Transfer,752,22,Coimbatore,0
Purchase,2983,21,Bangalore,0
Purchase,3477,17,Gujarat,0
Transfer,2455,16,Mumbai,0
Purchase,650,6,Gujarat,0
Withdrawal,392,0,Thrissur,0
Transfer,3030,16,Delhi,0
Transfer,1987,11,Chennai,0
Withdrawal,3008,8,Kolkata,0
Transfer,4472,6,Kashmir,0
